"Address","Source Line","Assembly","Hardware Event Count: Total","Hardware Event Count: Self","Hardware Event Sample Count: Total","Hardware Event Sample Count: Self"
"0x7f61252f4e89","475","jz 0x7f61252f6da4 <Block 305>","","","",""
"0x7f61252f4e8f","0","Block 35:","","","",""
"0x7f61252f4e8f","475","mov rdx, r14","","","",""
"0x7f61252f4e92","475","mov rcx, 0x7f61206d9bd8","","","",""
"0x7f61252f4e9c","475","add qword ptr [rcx+0x108], 0x1","","","",""
"0x7f61252f4ea4","475","mov edx, 0x1","","","",""
"0x7f61252f4ea9","475","mov ecx, 0x0","","","",""
"0x7f61252f4eae","475","mov r8, 0x0","","","",""
"0x7f61252f4eb8","475","mov rdi, rax","","","",""
"0x7f61252f4ebb","475","mov rsi, r14","","","",""
"0x7f61252f4ebe","475","mov qword ptr [rsp+0xa0], r14","","","",""
"0x7f61252f4ec6","475","mov qword ptr [rsp+0x88], rbx","","","",""
"0x7f61252f4ece","475","nop ","","","",""
"0x7f61252f4ecf","475","call 0x7f6125045de0 <resolve_opt_virtual_call>","","","",""
"0x7f61252f4ed4","0","Block 36:","","","",""
"0x7f61252f4ed4","475","mov rdx, 0x7c00626a0","","","",""
"0x7f61252f4ede","475","mov rax, qword ptr [r15+0x60]","","","",""
"0x7f61252f4ee2","475","lea rdi, ptr [rax+0x20]","","","",""
"0x7f61252f4ee6","475","cmp rdi, qword ptr [r15+0x70]","","","",""
"0x7f61252f4eea","475","jnbe 0x7f61252f6dbb <Block 307>","","","",""
"0x7f61252f4ef0","0","Block 37:","","","",""
"0x7f61252f4ef0","475","mov qword ptr [r15+0x60], rdi","","","",""
"0x7f61252f4ef4","475","mov rcx, qword ptr [rdx+0xa8]","","","",""
"0x7f61252f4efb","475","mov qword ptr [rax], rcx","","","",""
"0x7f61252f4efe","475","mov rcx, rdx","","","",""
"0x7f61252f4f01","475","shr rcx, 0x3","","","",""
"0x7f61252f4f05","475","mov dword ptr [rax+0x8], ecx","","","",""
"0x7f61252f4f08","475","xor rcx, rcx","","","",""
"0x7f61252f4f0b","475","mov dword ptr [rax+0xc], ecx","","","",""
"0x7f61252f4f0e","475","xor rcx, rcx","","","",""
"0x7f61252f4f11","475","mov qword ptr [rax+0x10], rcx","","","",""
"0x7f61252f4f15","475","mov qword ptr [rax+0x18], rcx","","","",""
"0x7f61252f4f19","0","Block 38:","","","",""
"0x7f61252f4f19","478","mov rdx, rax","","","",""
"0x7f61252f4f1c","478","mov rcx, 0x7f61206da038","","","",""
"0x7f61252f4f26","478","add qword ptr [rcx+0x198], 0x1","","","",""
"0x7f61252f4f2e","478","mov rdx, 0x0","","","",""
"0x7f61252f4f38","478","mov ecx, 0x0","","","",""
"0x7f61252f4f3d","478","mov r8d, 0x3e9","","","",""
"0x7f61252f4f43","478","mov rsi, rax","","","",""
"0x7f61252f4f46","478","mov qword ptr [rsp+0xa8], rax","","","",""
"0x7f61252f4f4e","478","nop ","","","",""
"0x7f61252f4f4f","478","call 0x7f6125045de0 <resolve_opt_virtual_call>","","","",""
"0x7f61252f4f54","0","Block 39:","","","",""
"0x7f61252f4f54","478","mov rdx, 0x7c00626a0","","","",""
"0x7f61252f4f5e","478","mov rax, qword ptr [r15+0x60]","","","",""
"0x7f61252f4f62","478","lea rdi, ptr [rax+0x20]","","","",""
"0x7f61252f4f66","478","cmp rdi, qword ptr [r15+0x70]","","","",""
"0x7f61252f4f6a","478","jnbe 0x7f61252f6dc8 <Block 309>","","","",""
"0x7f61252f4f70","0","Block 40:","","","",""
"0x7f61252f4f70","478","mov qword ptr [r15+0x60], rdi","","","",""
"0x7f61252f4f74","478","mov rcx, qword ptr [rdx+0xa8]","","","",""
"0x7f61252f4f7b","478","mov qword ptr [rax], rcx","","","",""
"0x7f61252f4f7e","478","mov rcx, rdx","","","",""
"0x7f61252f4f81","478","shr rcx, 0x3","","","",""
"0x7f61252f4f85","478","mov dword ptr [rax+0x8], ecx","","","",""
"0x7f61252f4f88","478","xor rcx, rcx","","","",""
"0x7f61252f4f8b","478","mov dword ptr [rax+0xc], ecx","","","",""
"0x7f61252f4f8e","478","xor rcx, rcx","","","",""
"0x7f61252f4f91","478","mov qword ptr [rax+0x10], rcx","","","",""
"0x7f61252f4f95","478","mov qword ptr [rax+0x18], rcx","","","",""
"0x7f61252f4f99","0","Block 41:","","","",""
"0x7f61252f4f99","479","mov rdx, rax","","","",""
"0x7f61252f4f9c","479","mov rcx, 0x7f61206da038","","","",""
"0x7f61252f4fa6","479","add qword ptr [rcx+0x1a8], 0x1","","","",""
"0x7f61252f4fae","479","mov rdx, qword ptr [rsp+0xa8]","","","",""
"0x7f61252f4fb6","479","mov ecx, 0x0","","","",""
"0x7f61252f4fbb","479","mov r8d, 0x3e9","","","",""
"0x7f61252f4fc1","479","mov rsi, rax","","","",""
"0x7f61252f4fc4","479","mov qword ptr [rsp+0xb0], rax","","","",""
"0x7f61252f4fcc","479","nop ","","","",""
"0x7f61252f4fcd","479","nop ","","","",""
"0x7f61252f4fce","479","nop ","","","",""
"0x7f61252f4fcf","479","call 0x7f6125045de0 <resolve_opt_virtual_call>","","","",""
"0x7f61252f4fd4","0","Block 42:","","","",""
"0x7f61252f4fd4","479","mov rdx, 0x7c00628e0","","","",""
"0x7f61252f4fde","479","mov rax, qword ptr [r15+0x60]","","","",""
"0x7f61252f4fe2","479","lea rdi, ptr [rax+0x28]","","","",""
"0x7f61252f4fe6","479","cmp rdi, qword ptr [r15+0x70]","","","",""
"0x7f61252f4fea","479","jnbe 0x7f61252f6dd5 <Block 311>","","","",""
"0x7f61252f4ff0","0","Block 43:","","","",""
"0x7f61252f4ff0","479","mov qword ptr [r15+0x60], rdi","","","",""
"0x7f61252f4ff4","479","mov rcx, qword ptr [rdx+0xa8]","","","",""
"0x7f61252f4ffb","479","mov qword ptr [rax], rcx","","","",""
"0x7f61252f4ffe","479","mov rcx, rdx","","","",""
"0x7f61252f5001","479","shr rcx, 0x3","","","",""
"0x7f61252f5005","479","mov dword ptr [rax+0x8], ecx","","","",""
"0x7f61252f5008","479","xor rcx, rcx","","","",""
"0x7f61252f500b","479","mov dword ptr [rax+0xc], ecx","","","",""
"0x7f61252f500e","479","xor rcx, rcx","","","",""
"0x7f61252f5011","479","mov qword ptr [rax+0x10], rcx","","","",""
"0x7f61252f5015","479","mov qword ptr [rax+0x18], rcx","","","",""
"0x7f61252f5019","479","mov qword ptr [rax+0x20], rcx","","","",""
"0x7f61252f501d","0","Block 44:","","","",""
"0x7f61252f501d","480","mov rdx, 0x7c0061a20","","","",""
"0x7f61252f5027","480","mov rbx, rax","","","",""
"0x7f61252f502a","480","mov rax, qword ptr [r15+0x60]","","","",""
"0x7f61252f502e","480","lea rdi, ptr [rax+0x10]","","","",""
"0x7f61252f5032","480","cmp rdi, qword ptr [r15+0x70]","","","",""
"0x7f61252f5036","480","jnbe 0x7f61252f6de2 <Block 313>","","","",""
"0x7f61252f503c","0","Block 45:","","","",""
"0x7f61252f503c","480","mov qword ptr [r15+0x60], rdi","","","",""
"0x7f61252f5040","480","mov rcx, qword ptr [rdx+0xa8]","","","",""
"0x7f61252f5047","480","mov qword ptr [rax], rcx","","","",""
"0x7f61252f504a","480","mov rcx, rdx","","","",""
"0x7f61252f504d","480","shr rcx, 0x3","","","",""
"0x7f61252f5051","480","mov dword ptr [rax+0x8], ecx","","","",""
"0x7f61252f5054","480","xor rcx, rcx","","","",""
"0x7f61252f5057","480","mov dword ptr [rax+0xc], ecx","","","",""
"0x7f61252f505a","480","xor rcx, rcx","","","",""
"0x7f61252f505d","0","Block 46:","","","",""
"0x7f61252f505d","480","mov r9, rax","","","",""
"0x7f61252f5060","480","mov rdx, r9","","","",""
"0x7f61252f5063","480","mov rsi, 0x7f61206da038","","","",""
"0x7f61252f506d","480","add qword ptr [rsi+0x1b8], 0x1","","","",""
"0x7f61252f5075","480","mov rdx, 0x7f61206d83b8","","","",""
